iso_code,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy
ALB,Albania,3038,74,81,2,1055.668,25.714,28.147,0.695,2877800,104.871,38,13.188,8.643,11803.431,304.195,10.08,7.1,51.2,2.89,78.57
AUT,Austria,18415,89,706,0,2044.657,9.882,78.389,0,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,7.37,81.54
BLR,Belarus,64003,199,436,7,6773.291,21.06,46.141,0.741,9449321,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,11,74.79
BEL,Belgium,62123,65,9776,2,5360.229,5.608,843.514,0.173,11589616,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63
BIH,Bosnia and Herzegovina,5621,163,207,8,1713.294,49.683,63.094,2.438,3280815,68.496,42.5,16.569,10.711,11713.895,329.635,10.08,30.2,47.7,3.5,77.4
BGR,Bulgaria,6102,188,254,4,878.182,27.056,36.555,0.576,6948445,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,7.454,75.05
HRV,Croatia,3272,52,113,0,797.025,12.667,27.526,0,4105268,73.726,44,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,5.54,78.49
CYP,Cyprus,1005,1,19,0,1147.393,1.142,21.692,0,875899,127.657,37.3,13.416,8.563,32415.132,141.171,9.24,19.6,52.7,3.4,80.98
CZE,Czech Republic,12685,119,351,1,1184.52,11.112,32.776,0.093,10708982,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,6.63,79.38
DNK,Denmark,12888,10,609,2,2225.06,1.726,105.141,0.345,5792203,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,19.3,18.8,2.5,80.9
EST,Estonia,1995,1,69,0,1503.914,0.754,52.015,0,1326539,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,4.69,78.74
FIN,Finland,7262,5,329,0,1310.66,0.902,59.379,0,5540718,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,3.28,81.91
FRA,France,168810,475,29933,13,2586.195,7.277,458.578,0.199,65273512,122.578,42,19.718,13.079,38605.671,86.06,4.77,30.1,35.6,5.98,82.66
DEU,Germany,197341,397,9036,12,2355.356,4.738,107.849,0.143,83783945,237.016,46.6,21.453,15.957,45229.245,156.139,8.31,28.2,33.1,8,81.33
GRC,Greece,3589,27,193,1,344.333,2.59,18.517,0.096,10423056,83.479,45.3,20.396,14.524,24574.382,175.695,4.55,35.3,52,4.21,82.24
HUN,Hungary,4210,21,589,0,435.802,2.174,60.971,0,9660350,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,7.02,76.88
ISL,Iceland,1873,7,10,0,5488.645,20.513,29.304,0,341250,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,2.91,82.99
IRL,Ireland,25538,7,1743,2,5171.943,1.418,352.991,0.405,4937796,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23,25.7,2.96,82.3
ITA,Italy,241956,137,34899,30,4001.798,2.266,577.207,0.496,60461828,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,3.18,83.51
LVA,Latvia,1134,7,30,0,601.208,3.711,15.905,0,1886202,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51,5.57,75.29
LTU,Lithuania,1844,3,79,0,677.371,1.102,29.02,0,2722291,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38,6.56,75.93
LUX,Luxembourg,4603,61,110,0,7353.317,97.448,175.726,0,625976,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26,4.51,82.25
MKD,Macedonia,7240,118,351,5,3475.122,56.639,168.476,2.4,2083380,82.6,39.1,13.26,8.16,13111.214,322.688,10.08,0,0,4.28,75.8
MLT,Malta,673,1,9,0,1524.214,2.265,20.383,0,441539,1454.037,42.4,19.426,11.324,36513.323,168.711,8.83,20.9,30.2,4.485,82.53
MDA,Moldova,18141,235,603,8,4497.067,58.255,149.481,1.983,4033963,123.655,37.6,10.864,6.955,5189.972,408.502,5.72,5.9,44.6,5.8,71.9
MNE,Montenegro,907,66,17,3,1444.125,105.085,27.067,4.777,628062,46.28,39.1,14.762,9.395,16409.288,387.305,10.08,44,47.9,3.861,76.88
NLD,Netherlands,50639,37,6123,4,2955.318,2.159,357.341,0.233,17134873,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,3.32,82.28
NOR,Norway,8936,6,251,0,1648.331,1.107,46.299,0,5421242,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,3.6,82.4
POL,Poland,36412,257,1528,7,962.094,6.791,40.374,0.185,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73
PRT,Portugal,44416,287,1629,9,4355.916,28.146,159.757,0.883,10196707,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30,3.39,82.05
ROU,Romania,29620,397,1799,31,1539.687,20.637,93.514,1.611,19237682,85.129,43,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,6.892,76.05
RUS,Russia,694230,6368,10494,198,4757.135,43.636,71.909,1.357,145934460,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,8.05,72.58
SRB,Serbia,16719,299,330,13,2457.016,43.941,48.497,1.91,6804596,80.291,41.2,17.366,0,14048.881,439.415,10.08,37.7,40.2,5.609,76
SVK,Slovakia,1767,2,28,0,323.648,0.366,5.129,0,5459643,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,5.82,77.54
SVN,Slovenia,1739,23,111,0,836.487,11.063,53.393,0,2078932,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25,4.5,81.32
SWE,Sweden,73344,283,5447,14,7262.307,28.022,539.346,1.386,10099270,24.718,41,19.985,13.433,46949.283,133.982,4.79,18.8,18.9,2.22,82.8
CHE,Switzerland,32284,54,1685,0,3730.263,6.239,194.694,0,8654618,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,4.53,83.78
UKR,Ukraine,50414,807,1306,23,1152.748,18.453,29.863,0.526,43733759,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,8.8,72.06
GBR,United Kingdom,286349,581,44391,155,4218.086,8.558,653.905,2.283,67886004,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20,24.7,2.54,81.32
